Date,Store_ID,Product_ID,Category,Region,Price,Units_Sold,Promotion,Holiday,Temperature,Rainfall,Sales
2023-01-03,S003,P016,Home,East,392,125,No,Yes,20.6,3.4,49000
2023-01-03,S003,P009,Electronics,East,634,114,No,Yes,20.8,7.3,72276
2023-01-03,S003,P013,Electronics,East,350,143,No,Yes,24.2,0.9,50050
2023-01-03,S003,P004,Home,East,290,29,No,Yes,22.9,4.7,8410
2023-01-03,S003,P005,Electronics,East,126,126,Yes,Yes,22.5,2.3,15876
2023-01-03,S003,P001,Electronics,East,122,35,Yes,Yes,25.2,3.3,4270
2023-01-03,S003,P008,Home,East,40,187,Yes,Yes,18.1,3.2,7480
2023-01-03,S004,P016,Home,West,392,54,Yes,Yes,21.2,4.0,21168
2023-01-03,S004,P011,Grocery,West,486,24,No,Yes,20.5,5.0,11664
2023-01-03,S004,P018,Clothing,West,891,110,No,Yes,24.1,5.9,98010
2023-01-03,S004,P002,Clothing,West,455,72,No,Yes,21.2,3.7,32760
2023-01-03,S004,P007,Grocery,West,720,113,No,Yes,24.7,2.6,81360
2023-01-03,S004,P020,Home,West,150,97,No,Yes,22.5,1.8,14550
2023-01-03,S004,P009,Electronics,West,634,173,Yes,Yes,19.7,1.6,109682
2023-01-03,S005,P015,Grocery,Central,107,102,No,Yes,27.7,5.4,10914
2023-01-03,S005,P017,Electronics,Central,119,35,No,Yes,21.9,5.1,4165
2023-01-03,S005,P019,Grocery,Central,683,53,No,Yes,23.6,0.8,36199
2023-01-03,S005,P005,Electronics,Central,126,102,No,Yes,28.0,3.8,12852
2023-01-03,S005,P016,Home,Central,392,145,No,Yes,18.2,1.4,56840
2023-01-03,S005,P011,Grocery,Central,486,24,No,Yes,20.2,3.8,11664
2023-01-03,S005,P012,Home,Central,234,165,Yes,Yes,30.0,4.4,38610
2023-01-04,S001,P005,Electronics,North,126,153,Yes,Yes,26.8,4.3,19278
2023-01-04,S001,P013,Electronics,North,350,47,No,Yes,20.0,1.0,16450
2023-01-04,S001,P004,Home,North,290,67,No,Yes,22.2,5.2,19430
2023-01-04,S001,P003,Grocery,North,880,61,No,Yes,19.2,4.2,53680
2023-01-04,S001,P009,Electronics,North,634,62,No,Yes,25.4,0.0,39308
2023-01-04,S001,P001,Electronics,North,122,13,No,Yes,10.9,3.3,1586
2023-01-04,S001,P002,Clothing,North,455,119,Yes,Yes,23.9,0.0,54145
2023-01-04,S002,P016,Home,South,392,125,Yes,Yes,24.4,1.3,49000
2023-01-04,S002,P003,Grocery,South,880,80,No,Yes,27.5,3.3,70400
2023-01-04,S002,P014,Clothing,South,478,112,Yes,Yes,26.4,0.0,53536
2023-01-04,S002,P012,Home,South,234,111,No,Yes,21.9,8.6,25974
2023-01-04,S002,P008,Home,South,40,84,No,Yes,26.5,0.2,3360
2023-01-04,S002,P004,Home,South,290,138,No,Yes,31.7,5.5,40020
2023-01-04,S002,P009,Electronics,South,634,145,Yes,Yes,23.5,2.0,91930
2023-01-04,S003,P010,Clothing,East,141,133,No,Yes,15.3,6.5,18753
2023-01-04,S003,P020,Home,East,150,70,No,Yes,26.6,2.1,10500
2023-01-04,S003,P007,Grocery,East,720,72,Yes,Yes,16.9,6.5,51840
2023-01-04,S003,P016,Home,East,392,143,No,Yes,23.9,3.3,56056
2023-01-04,S003,P017,Electronics,East,119,124,No,Yes,20.7,5.7,14756
2023-01-04,S003,P013,Electronics,East,350,60,Yes,Yes,26.2,0.3,21000
2023-01-04,S003,P009,Electronics,East,634,24,No,Yes,26.4,5.3,15216
2023-01-04,S004,P011,Grocery,West,486,79,No,Yes,16.7,8.5,38394
2023-01-04,S004,P017,Electronics,West,119,128,No,Yes,23.5,0.0,15232
2023-01-04,S004,P013,Electronics,West,350,115,Yes,Yes,22.8,0.1,40250
2023-01-04,S004,P003,Grocery,West,880,78,No,Yes,25.3,2.8,68640
2023-01-04,S004,P008,Home,West,40,146,No,Yes,24.2,0.0,5840
2023-01-04,S004,P019,Grocery,West,683,126,No,Yes,19.7,3.2,86058
2023-01-04,S004,P014,Clothing,West,478,142,No,Yes,31.2,0.5,67876
2023-01-04,S005,P018,Clothing,Central,891,34,No,Yes,21.7,4.2,30294
2023-01-04,S005,P020,Home,Central,150,141,Yes,Yes,24.8,4.7,21150
2023-01-04,S005,P016,Home,Central,392,137,No,Yes,15.9,2.9,53704
2023-01-04,S005,P015,Grocery,Central,107,62,No,Yes,22.5,3.9,6634
2023-01-04,S005,P019,Grocery,Central,683,130,No,Yes,24.6,4.6,88790
2023-01-04,S005,P017,Electronics,Central,119,199,Yes,Yes,19.9,3.2,23681
2023-01-04,S005,P004,Home,Central,290,124,Yes,Yes,26.1,2.9,35960
2023-01-05,S001,P003,Grocery,North,880,58,No,No,22.2,5.4,51040
2023-01-05,S001,P020,Home,North,150,70,No,No,15.6,4.1,10500
2023-01-05,S001,P017,Electronics,North,119,35,No,No,15.0,1.3,4165
2023-01-05,S001,P018,Clothing,North,891,49,Yes,No,25.1,2.1,43659
2023-01-05,S001,P013,Electronics,North,350,55,No,No,22.9,6.1,19250
2023-01-05,S001,P010,Clothing,North,141,64,Yes,No,25.9,2.6,9024
2023-01-05,S001,P005,Electronics,North,126,29,No,No,22.2,5.3,3654
2023-01-05,S002,P004,Home,South,290,115,No,No,30.5,7.9,33350
2023-01-05,S002,P016,Home,South,392,60,No,No,32.2,3.7,23520
2023-01-05,S002,P012,Home,South,234,137,Yes,No,34.2,6.6,32058
2023-01-05,S002,P015,Grocery,South,107,92,Yes,No,26.4,3.6,9844
2023-01-05,S002,P007,Grocery,South,720,26,No,No,24.4,4.9,18720
2023-01-05,S002,P005,Electronics,South,126,64,No,No,24.2,1.3,8064
2023-01-05,S002,P006,Clothing,South,91,124,Yes,No,31.6,3.1,11284
2023-01-05,S003,P018,Clothing,East,891,100,No,No,24.4,5.1,89100
2023-01-05,S003,P005,Electronics,East,126,65,Yes,No,26.8,1.4,8190
2023-01-05,S003,P007,Grocery,East,720,167,Yes,No,23.4,1.4,120240
2023-01-05,S003,P009,Electronics,East,634,54,Yes,No,22.1,3.2,34236
2023-01-05,S003,P012,Home,East,234,75,No,No,19.3,2.9,17550
2023-01-05,S003,P010,Clothing,East,141,44,No,No,24.4,3.4,6204
2023-01-05,S003,P014,Clothing,East,478,117,Yes,No,19.5,4.5,55926
2023-01-05,S004,P006,Clothing,West,91,77,No,No,21.5,0.6,7007
2023-01-05,S004,P007,Grocery,West,720,108,No,No,21.3,4.3,77760
2023-01-05,S004,P002,Clothing,West,455,35,Yes,No,19.1,4.5,15925
2023-01-05,S004,P020,Home,West,150,117,Yes,No,21.6,6.7,17550
2023-01-05,S004,P010,Clothing,West,141,67,No,No,14.6,1.9,9447
2023-01-05,S004,P008,Home,West,40,51,No,No,19.3,3.1,2040
2023-01-05,S004,P009,Electronics,West,634,32,No,No,32.1,0.0,20288
2023-01-05,S005,P010,Clothing,Central,141,119,Yes,No,19.0,0.3,16779
2023-01-05,S005,P001,Electronics,Central,122,79,No,No,16.7,5.3,9638
2023-01-05,S005,P006,Clothing,Central,91,87,No,No,14.4,2.1,7917
2023-01-05,S005,P012,Home,Central,234,31,No,No,26.9,4.5,7254
2023-01-05,S005,P009,Electronics,Central,634,59,No,No,19.7,2.5,37406
2023-01-05,S005,P016,Home,Central,392,47,No,No,21.9,2.2,18424
2023-01-05,S005,P019,Grocery,Central,683,65,Yes,No,22.1,3.4,44395
2023-01-06,S001,P017,Electronics,North,119,72,Yes,No,22.8,4.8,8568
2023-01-06,S001,P015,Grocery,North,107,128,No,No,23.4,3.8,13696
2023-01-06,S001,P005,Electronics,North,126,86,No,No,20.7,7.8,10836
2023-01-06,S001,P003,Grocery,North,880,109,No,No,22.8,7.2,95920
2023-01-06,S001,P019,Grocery,North,683,27,No,No,19.4,2.0,18441
2023-01-06,S001,P008,Home,North,40,42,No,No,19.7,3.0,1680
2023-01-06,S001,P014,Clothing,North,478,54,No,No,16.8,5.4,25812
2023-01-06,S002,P011,Grocery,South,486,70,No,No,32.2,6.4,34020
2023-01-06,S002,P017,Electronics,South,119,81,No,No,33.3,3.9,9639
2023-01-06,S002,P002,Clothing,South,455,88,No,No,33.5,1.7,40040
2023-01-06,S002,P012,Home,South,234,116,No,No,25.8,1.7,27144
2023-01-06,S002,P014,Clothing,South,478,55,No,No,32.7,4.1,26290
2023-01-06,S002,P020,Home,South,150,105,No,No,25.3,3.6,15750
2023-01-06,S002,P018,Clothing,South,891,97,No,No,32.6,2.1,86427
2023-01-06,S003,P019,Grocery,East,683,58,No,No,24.0,0.0,39614
2023-01-06,S003,P007,Grocery,East,720,71,No,No,21.4,6.2,51120
2023-01-06,S003,P002,Clothing,East,455,144,Yes,No,22.2,1.6,65520
2023-01-06,S003,P018,Clothing,East,891,38,No,No,24.5,3.4,33858
2023-01-06,S003,P012,Home,East,234,31,No,No,25.7,3.7,7254
2023-01-06,S003,P008,Home,East,40,78,No,No,21.4,5.2,3120
2023-01-06,S003,P016,Home,East,392,26,Yes,No,19.5,6.8,10192
2023-01-06,S004,P020,Home,West,150,25,No,No,17.4,6.3,3750
2023-01-06,S004,P014,Clothing,West,478,135,Yes,No,23.4,0.8,64530
2023-01-06,S004,P006,Clothing,West,91,60,No,No,21.0,3.7,5460
2023-01-06,S004,P003,Grocery,West,880,98,No,No,26.9,4.4,86240
2023-01-06,S004,P004,Home,West,290,42,No,No,24.8,2.4,12180
2023-01-06,S004,P008,Home,West,40,118,No,No,25.9,0.3,4720
2023-01-06,S004,P009,Electronics,West,634,73,No,No,15.4,1.2,46282
2023-01-06,S005,P007,Grocery,Central,720,124,No,No,17.4,0.0,89280
2023-01-06,S005,P013,Electronics,Central,350,54,No,No,15.5,5.0,18900
2023-01-06,S005,P004,Home,Central,290,44,No,No,21.0,3.8,12760
2023-01-06,S005,P009,Electronics,Central,634,33,No,No,16.4,2.1,20922
2023-01-06,S005,P005,Electronics,Central,126,67,No,No,24.1,3.4,8442
2023-01-06,S005,P016,Home,Central,392,34,No,No,15.7,1.0,13328
2023-01-06,S005,P020,Home,Central,150,115,No,No,17.8,3.1,17250
2023-01-07,S001,P003,Grocery,North,880,57,Yes,No,23.5,2.4,50160
2023-01-07,S001,P002,Clothing,North,455,46,Yes,No,20.1,0.8,20930
2023-01-07,S001,P005,Electronics,North,126,39,No,No,19.2,1.6,4914
2023-01-07,S001,P016,Home,North,392,98,No,No,26.1,4.1,38416
2023-01-07,S001,P017,Electronics,North,119,124,No,No,17.0,4.0,14756
2023-01-07,S001,P006,Clothing,North,91,40,No,No,26.9,6.2,3640
2023-01-07,S001,P011,Grocery,North,486,39,No,No,16.6,4.3,18954
2023-01-07,S002,P012,Home,South,234,93,No,No,23.6,1.6,21762
2023-01-07,S002,P014,Clothing,South,478,109,No,No,27.1,2.0,52102
2023-01-07,S002,P015,Grocery,South,107,32,No,No,29.3,4.7,3424
2023-01-07,S002,P016,Home,South,392,98,No,No,23.2,6.3,38416
2023-01-07,S002,P020,Home,South,150,34,No,No,24.7,3.3,5100
2023-01-07,S002,P005,Electronics,South,126,120,No,No,30.5,1.2,15120
2023-01-07,S002,P013,Electronics,South,350,40,No,No,27.9,3.8,14000
2023-01-07,S003,P011,Grocery,East,486,35,No,No,20.4,0.7,17010
2023-01-07,S003,P003,Grocery,East,880,93,No,No,27.2,3.1,81840
2023-01-07,S003,P007,Grocery,East,720,54,No,No,32.0,3.0,38880
2023-01-07,S003,P010,Clothing,East,141,42,No,No,20.2,5.3,5922
2023-01-07,S003,P020,Home,East,150,50,No,No,23.7,4.2,7500
2023-01-07,S003,P002,Clothing,East,455,57,No,No,24.1,1.2,25935
2023-01-07,S003,P014,Clothing,East,478,50,No,No,22.5,1.6,23900
2023-01-07,S004,P010,Clothing,West,141,133,No,No,22.2,4.1,18753
2023-01-07,S004,P012,Home,West,234,137,No,No,22.6,2.3,32058
2023-01-07,S004,P007,Grocery,West,720,63,No,No,24.2,0.4,45360
2023-01-07,S004,P002,Clothing,West,455,126,No,No,13.9,1.9,57330
2023-01-07,S004,P008,Home,West,40,74,No,No,22.6,2.3,2960
2023-01-07,S004,P005,Electronics,West,126,111,No,No,25.4,4.1,13986
2023-01-07,S004,P017,Electronics,West,119,19,No,No,15.9,4.8,2261
2023-01-07,S005,P001,Electronics,Central,122,55,Yes,No,23.6,0.0,6710
2023-01-07,S005,P013,Electronics,Central,350,156,Yes,No,21.5,2.1,54600
2023-01-07,S005,P012,Home,Central,234,44,No,No,21.4,2.9,10296
2023-01-07,S005,P016,Home,Central,392,98,Yes,No,24.9,0.5,38416
2023-01-07,S005,P009,Electronics,Central,634,121,No,No,12.9,3.6,76714
2023-01-07,S005,P010,Clothing,Central,141,43,No,No,23.9,3.3,6063
2023-01-07,S005,P008,Home,Central,40,82,No,No,20.0,7.3,3280
2023-01-08,S001,P020,Home,North,150,59,Yes,No,12.3,3.4,8850
2023-01-08,S001,P006,Clothing,North,91,146,No,No,19.4,0.9,13286
2023-01-08,S001,P004,Home,North,290,40,Yes,No,27.0,3.4,11600
2023-01-08,S001,P011,Grocery,North,486,48,Yes,No,27.2,0.5,23328
2023-01-08,S001,P009,Electronics,North,634,126,Yes,No,24.6,5.4,79884
2023-01-08,S001,P014,Clothing,North,478,90,No,No,24.7,2.9,43020
2023-01-08,S001,P010,Clothing,North,141,39,Yes,No,28.1,4.0,5499
2023-01-08,S002,P005,Electronics,South,126,66,Yes,No,25.7,2.7,8316
2023-01-08,S002,P018,Clothing,South,891,48,No,No,22.8,3.5,42768
2023-01-08,S002,P003,Grocery,South,880,150,Yes,No,31.6,6.5,132000
2023-01-08,S002,P016,Home,South,392,157,Yes,No,31.3,4.2,61544
2023-01-08,S002,P013,Electronics,South,350,66,Yes,No,30.9,7.6,23100
2023-01-08,S002,P004,Home,South,290,102,No,No,28.7,1.3,29580
2023-01-08,S002,P006,Clothing,South,91,29,No,No,27.9,4.7,2639
2023-01-08,S003,P006,Clothing,East,91,113,No,No,22.9,3.5,10283
2023-01-08,S003,P012,Home,East,234,99,No,No,17.6,2.1,23166
2023-01-08,S003,P013,Electronics,East,350,81,No,No,18.7,0.0,28350
2023-01-08,S003,P019,Grocery,East,683,45,No,No,20.6,2.2,30735
2023-01-08,S003,P020,Home,East,150,38,No,No,19.8,8.1,5700
2023-01-08,S003,P014,Clothing,East,478,121,No,No,20.7,2.5,57838
2023-01-08,S003,P018,Clothing,East,891,57,No,No,19.5,4.7,50787
2023-01-08,S004,P016,Home,West,392,167,Yes,No,24.3,6.7,65464
2023-01-08,S004,P009,Electronics,West,634,117,No,No,25.4,4.8,74178
2023-01-08,S004,P015,Grocery,West,107,97,No,No,17.5,3.3,10379
2023-01-08,S004,P002,Clothing,West,455,29,No,No,20.1,0.0,13195
2023-01-08,S004,P008,Home,West,40,117,No,No,10.8,4.4,4680
2023-01-08,S004,P001,Electronics,West,122,124,No,No,22.8,2.2,15128
2023-01-08,S004,P007,Grocery,West,720,20,No,No,18.0,2.9,14400
2023-01-08,S005,P016,Home,Central,392,93,No,No,16.7,0.8,36456
2023-01-08,S005,P002,Clothing,Central,455,104,No,No,22.3,4.4,47320
2023-01-08,S005,P017,Electronics,Central,119,50,Yes,No,25.2,0.5,5950
2023-01-08,S005,P013,Electronics,Central,350,149,Yes,No,17.7,1.8,52150
2023-01-08,S005,P001,Electronics,Central,122,170,Yes,No,26.1,8.3,20740
2023-01-08,S005,P004,Home,Central,290,183,Yes,No,12.9,3.5,53070
2023-01-08,S005,P011,Grocery,Central,486,113,No,No,21.1,5.3,54918
2023-01-09,S001,P020,Home,North,150,45,No,No,20.0,5.3,6750
2023-01-09,S001,P001,Electronics,North,122,97,No,No,18.1,3.9,11834
2023-01-09,S001,P012,Home,North,234,66,No,No,21.7,2.6,15444
2023-01-09,S001,P009,Electronics,North,634,117,Yes,No,13.2,0.9,74178
2023-01-09,S001,P015,Grocery,North,107,99,Yes,No,22.8,3.7,10593
2023-01-09,S001,P014,Clothing,North,478,84,No,No,17.4,4.1,40152
2023-01-09,S001,P004,Home,North,290,104,No,No,18.6,1.7,30160
2023-01-09,S002,P019,Grocery,South,683,46,No,No,28.8,3.5,31418
2023-01-09,S002,P015,Grocery,South,107,34,No,No,29.2,3.7,3638
2023-01-09,S002,P002,Clothing,South,455,42,No,No,27.3,5.0,19110
2023-01-09,S002,P017,Electronics,South,119,54,Yes,No,29.1,2.0,6426
2023-01-09,S002,P009,Electronics,South,634,100,No,No,29.1,3.6,63400
2023-01-09,S002,P018,Clothing,South,891,104,No,No,30.9,0.8,92664
2023-01-09,S002,P004,Home,South,290,88,No,No,24.0,2.0,25520
2023-01-09,S003,P012,Home,East,234,99,No,No,23.2,1.2,23166
2023-01-09,S003,P008,Home,East,40,24,No,No,20.0,4.6,960
2023-01-09,S003,P013,Electronics,East,350,20,No,No,23.7,1.8,7000
2023-01-09,S003,P014,Clothing,East,478,70,No,No,24.1,3.4,33460
2023-01-09,S003,P016,Home,East,392,60,No,No,25.0,2.2,23520
2023-01-09,S003,P004,Home,East,290,23,No,No,22.6,5.2,6670
2023-01-09,S003,P005,Electronics,East,126,48,No,No,27.6,2.9,6048
2023-01-09,S004,P019,Grocery,West,683,71,Yes,No,15.2,4.1,48493
2023-01-09,S004,P002,Clothing,West,455,63,No,No,17.7,4.9,28665
2023-01-09,S004,P005,Electronics,West,126,87,No,No,27.0,3.2,10962
2023-01-09,S004,P008,Home,West,40,31,No,No,26.6,1.1,1240
2023-01-09,S004,P017,Electronics,West,119,105,Yes,No,17.5,2.8,12495
2023-01-09,S004,P001,Electronics,West,122,87,No,No,17.5,5.4,10614
2023-01-09,S004,P011,Grocery,West,486,36,No,No,18.8,3.8,17496
2023-01-09,S005,P020,Home,Central,150,107,No,No,23.2,0.0,16050
2023-01-09,S005,P017,Electronics,Central,119,105,No,No,23.8,0.5,12495
2023-01-09,S005,P005,Electronics,Central,126,82,No,No,31.5,3.6,10332
2023-01-09,S005,P015,Grocery,Central,107,60,No,No,23.3,5.7,6420
2023-01-09,S005,P018,Clothing,Central,891,71,No,No,24.7,3.4,63261
2023-01-09,S005,P016,Home,Central,392,84,Yes,No,22.8,5.0,32928
2023-01-09,S005,P010,Clothing,Central,141,104,Yes,No,19.4,0.2,14664
2023-01-10,S001,P002,Clothing,North,455,86,No,No,25.3,0.6,39130
2023-01-10,S001,P011,Grocery,North,486,47,No,No,20.8,6.0,22842
2023-01-10,S001,P004,Home,North,290,40,Yes,No,19.9,6.0,11600
2023-01-10,S001,P006,Clothing,North,91,102,No,No,15.1,3.4,9282
2023-01-10,S001,P009,Electronics,North,634,109,No,No,27.3,4.5,69106
2023-01-10,S001,P003,Grocery,North,880,12,No,No,22.4,2.9,10560
2023-01-10,S001,P014,Clothing,North,478,82,No,No,21.3,1.5,39196
2023-01-10,S002,P010,Clothing,South,141,95,No,No,28.9,2.5,13395
2023-01-10,S002,P001,Electronics,South,122,42,No,No,23.6,2.2,5124
2023-01-10,S002,P014,Clothing,South,478,85,No,No,29.7,0.0,40630
2023-01-10,S002,P008,Home,South,40,150,Yes,No,29.7,5.7,6000
2023-01-10,S002,P012,Home,South,234,94,Yes,No,33.1,6.8,21996
2023-01-10,S002,P015,Grocery,South,107,110,Yes,No,23.5,3.2,11770
2023-01-10,S002,P019,Grocery,South,683,83,Yes,No,26.5,2.5,56689
2023-01-10,S003,P008,Home,East,40,162,Yes,No,24.1,0.0,6480
2023-01-10,S003,P011,Grocery,East,486,78,Yes,No,22.5,4.3,37908
2023-01-10,S003,P017,Electronics,East,119,113,No,No,18.8,1.8,13447
2023-01-10,S003,P016,Home,East,392,75,Yes,No,25.0,3.3,29400
2023-01-10,S003,P014,Clothing,East,478,116,Yes,No,21.3,0.8,55448
2023-01-10,S003,P013,Electronics,East,350,35,No,No,19.4,1.2,12250
2023-01-10,S003,P015,Grocery,East,107,51,No,No,17.1,4.0,5457
2023-01-10,S004,P007,Grocery,West,720,65,No,No,24.6,3.4,46800
2023-01-10,S004,P013,Electronics,West,350,71,No,No,16.2,1.3,24850
2023-01-10,S004,P020,Home,West,150,155,Yes,No,17.4,2.6,23250
2023-01-10,S004,P001,Electronics,West,122,77,No,No,21.8,3.6,9394
2023-01-10,S004,P016,Home,West,392,22,No,No,27.6,1.0,8624
2023-01-10,S004,P014,Clothing,West,478,79,No,No,24.4,0.0,37762
2023-01-10,S004,P009,Electronics,West,634,57,No,No,25.2,3.2,36138
2023-01-10,S005,P013,Electronics,Central,350,64,No,No,23.9,4.0,22400
2023-01-10,S005,P005,Electronics,Central,126,47,No,No,22.8,1.4,5922
2023-01-10,S005,P004,Home,Central,290,48,No,No,30.4,4.6,13920
2023-01-10,S005,P007,Grocery,Central,720,99,No,No,22.9,3.0,71280
